ID,title,author,publisher,first_published_year,language,cover_image
11748,French Conversation and Composition,"Wann,  Harry Vincent",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/11748/pg11748.cover.medium.jpg
3289,The Valley of Fear,"Doyle,  Arthur Conan",Project Gutenberg, 2002,English,https://www.gutenberg.org/cache/epub/3289/pg3289.cover.medium.jpg
38219,A General Introduction to Psychoanalysis,"Freud,  Sigmund",Project Gutenberg, 2011,English,https://www.gutenberg.org/cache/epub/38219/pg38219.cover.medium.jpg
1934,Songs of Innocence and of Experience,"Blake,  William",Project Gutenberg, 1999,English,https://www.gutenberg.org/cache/epub/1934/pg1934.cover.medium.jpg
901,The Jew of Malta,"Marlowe,  Christopher",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/901/pg901.cover.medium.jpg
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde,  Oscar",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg
5131,Childe Harold's Pilgrimage,"Byron,  George Gordon Byron,  Baron",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/5131/pg5131.cover.medium.jpg
147,Common Sense,"Paine,  Thomas",Project Gutenberg, 1994,English,https://www.gutenberg.org/cache/epub/147/pg147.cover.medium.jpg
5998,"Waverley; Or, 'Tis Sixty Years Since","Scott,  Walter",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/5998/pg5998.cover.medium.jpg
1522,Julius Caesar,"Shakespeare,  William",Project Gutenberg, 1998,English,https://www.gutenberg.org/cache/epub/1522/pg1522.cover.medium.jpg
48320,Adventures of Sherlock HolmesIllustrated,"Doyle,  Arthur Conan",Project Gutenberg, 2015,English,https://www.gutenberg.org/cache/epub/48320/pg48320.cover.medium.jpg
8492,The King in Yellow,"Chambers,  Robert W. (Robert William)",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/8492/pg8492.cover.medium.jpg
25305,"Memoirs of Fanny HillA New and Genuine Edition from the Original Text (London, 1749)","Cleland,  John",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/25305/pg25305.cover.medium.jpg
68283,The call of Cthulhu,"Lovecraft,  H. P. (Howard Phillips)",Project Gutenberg, 2022,English,https://www.gutenberg.org/cache/epub/68283/pg68283.cover.medium.jpg
30107,"Principles of Political EconomyAbridged with Critical, Bibliographical, and Explanatory Notes, and a Sketch of the History of Political Economy","Mill,  John Stuart",Project Gutenberg, 2009,English,https://www.gutenberg.org/cache/epub/30107/pg30107.cover.medium.jpg
1719,The Ballad of the White Horse,"Chesterton,  G. K. (Gilbert Keith)",Project Gutenberg, 1999,English,https://www.gutenberg.org/cache/epub/1719/pg1719.cover.medium.jpg
10732,The Essays of Arthur Schopenhauer; Studies in Pessimism,"Schopenhauer,  Arthur",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/10732/pg10732.cover.medium.jpg
61221,A passage to India,"Forster,  E. M. (Edward Morgan)",Project Gutenberg, 2020,English,https://www.gutenberg.org/cache/epub/61221/pg61221.cover.medium.jpg
1430,Beautiful Stories from Shakespeare,"Nesbit,  E. (Edith)",Project Gutenberg, 1998,English,https://www.gutenberg.org/cache/epub/1430/pg1430.cover.medium.jpg
19513,A Journey to the Center of the Earth,"Verne,  Jules",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/19513/pg19513.cover.medium.jpg
14264,The Practice and Science of Drawing,"Speed,  Harold",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/14264/pg14264.cover.medium.jpg
110,Tess of the d'Urbervilles: A Pure Woman,"Hardy,  Thomas",Project Gutenberg, 1994,English,https://www.gutenberg.org/cache/epub/110/pg110.cover.medium.jpg
57493,"The Natural History of Pliny, Volume 1 (of 6)","Pliny,  the Elder",Project Gutenberg, 2018,English,https://www.gutenberg.org/cache/epub/57493/pg57493.cover.medium.jpg
4018,Japanese Fairy Tales,"Ozaki,  Yei Theodora",Project Gutenberg, 2003,English,https://www.gutenberg.org/cache/epub/4018/pg4018.cover.medium.jpg
21700,Don Juan,"Byron,  George Gordon Byron,  Baron",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/21700/pg21700.cover.medium.jpg
7321,The NibelungenliedTranslated into Rhymed English Verse in the Metre of the Original,"Needler,  G. H. (George Henry)",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/7321/pg7321.cover.medium.jpg
28521,The Power of MesmerismA Highly Erotic Narrative of Voluptuous Facts and Fancies,Anonymous,Project Gutenberg, 2009,English,https://www.gutenberg.org/cache/epub/28521/pg28521.cover.medium.jpg
75274,"A crown of shame, volume 1 (of 3)","Marryat,  Florence",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75274/pg75274.cover.medium.jpg
940,The Last of the Mohicans; A narrative of 1757,"Cooper,  James Fenimore",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/940/pg940.cover.medium.jpg
805,This Side of Paradise,"Fitzgerald,  F. Scott (Francis Scott)",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/805/pg805.cover.medium.jpg
37841,"Human, All-Too-Human: A Book for Free Spirits, Part 2","Nietzsche,  Friedrich Wilhelm",Project Gutenberg, 2011,English,https://www.gutenberg.org/cache/epub/37841/pg37841.cover.medium.jpg
20687,Pride and Prejudice,"Austen,  Jane",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/20687/pg20687.cover.medium.jpg
18251,Latin for Beginners,"D'Ooge,  Benjamin L. (Benjamin Leonard)",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/18251/pg18251.cover.medium.jpg
782,The Travels of Sir John Mandeville,"Mandeville,  John,  Sir",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/782/pg782.cover.medium.jpg
25344,The Scarlet Letter,"Hawthorne,  Nathaniel",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/25344/pg25344.cover.medium.jpg
37683,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),"Davidson,  Thomas",Project Gutenberg, 2011,English,https://www.gutenberg.org/cache/epub/37683/pg37683.cover.medium.jpg
38126,Der Untertan,"Mann,  Heinrich",Project Gutenberg, 2011,German,https://www.gutenberg.org/cache/epub/38126/pg38126.cover.medium.jpg
