ID,title,author,publisher,first_published_year,language,cover_image
OL8300780W,Ultimate Train,Peter Herring,DK ADULT,2000.0,English,//covers.openlibrary.org/b/id/552457-M.jpg
OL2010894W,Rich Dad's Guide to Investing,Robert T. Kiyosaki,Business Plus,2000.0,English,//covers.openlibrary.org/b/id/288182-M.jpg
OL6619070W,F.M.Halford and the Dry-fly Revolution,Tony Hayter,Robert Hale Ltd,2002.0,,//covers.openlibrary.org/b/id/5110012-M.jpg
OL3449615W,Kusasana Kunoparira,M.A. Hamutyinei,Longman Schools Division (a Pearson Education company),1975.0,,//covers.openlibrary.org/b/id/6253244-M.jpg
OL9638858W,Complete Method for the Clarinet in Three Parts (Part 1),Gustave Langenus,Carl Fischer Music,1970.0,English,//covers.openlibrary.org/b/id/2657091-M.jpg
OL8162966W,Bloody summer,George G. Gilman,New English Library,1973.0,English,//covers.openlibrary.org/b/id/10644960-M.jpg
OL21641664W,Advanced Statistics with Applications in R,Eugene Demidenko,"Wiley & Sons, Limited, John",2019.0,English,/images/icons/avatar_book.png
OL19237098W,Konglomerasi,Ian Chalmers,Gramedia Pustaka Utama,1996.0,Indonesian,/images/icons/avatar_book.png
OL1168007W,Колгосп тварин,George Orwell,Mykhailo Borets'kyi,1945.0,Ukrainian,//covers.openlibrary.org/b/id/11262122-M.jpg
OL15546355W,The Godforsaken,George G. Gilman,Pinnacle Books,1984.0,English,//covers.openlibrary.org/b/id/6909437-M.jpg
OL10809899W,Rules of the Fire Offices' Committee for automatic sprinkler installation.,Fire Offices' Committee.,Fire Offices' Committee,1973.0,English,/images/icons/avatar_book.png
OL15562060W,Victoria's ecstasy,Gwen Cleary,Zebra Books,1990.0,English,/images/icons/avatar_book.png
OL76827W,An inquiry into the nature and causes of the wealth of nations.,Adam Smith,W. Allason,1776.0,,//covers.openlibrary.org/b/id/5700260-M.jpg
OL19711623W,Moon Rising,Tui T. Sutherland,Scholastic Press,2014.0,English,//covers.openlibrary.org/b/id/10526156-M.jpg
OL12410623W,Muasir,Ata-ul-Haq Qasmi,Idara Mussir,1996.0,Urdu,/images/icons/avatar_book.png
OL41904395W,Ethical Hacking,Ron Burns,Ron Burns,2023.0,English,/images/icons/avatar_book.png
OL5738259W,Extremely Loud and Incredibly Close,Jonathan Safran Foer,Mariner Books,2005.0,English,//covers.openlibrary.org/b/id/395159-M.jpg
OL8163013W,Red Fury,George G. Gilman,Pinnacle Books,1980.0,English,//covers.openlibrary.org/b/id/12467813-M.jpg
OL17371073W,manajemen pemasaran,Philip Kotler,British library,2016.0,,//covers.openlibrary.org/b/id/12387449-M.jpg
OL35438206W,"""What the Butler Saw"" (Modern Plays)","Orton, Joe.",Methuen Drama,1969.0,,//covers.openlibrary.org/b/id/261242-M.jpg
OL471789W,The Secret Adversary,Agatha Christie,Feedbooks,1922.0,English,//covers.openlibrary.org/b/id/14577696-M.jpg
OL15507623W,The naive and the sentimental novelist,Orhan Pamuk,Faber,2010.0,English,//covers.openlibrary.org/b/id/12311620-M.jpg
OL22013439W,"Kill List [Paperback] [Sep 26, 2013] Frederick Forsyth",Frederick Forsyth,Random House India,2013.0,,//covers.openlibrary.org/b/id/10415232-M.jpg
OL7432549W,Virginia summer resorts.,Norfolk and Western Railway Company.,,1902.0,English,//covers.openlibrary.org/b/id/6135847-M.jpg
OL15327742W,Mercado financeiro,Eduardo Fortuna,Qualitymark,2008.0,Portuguese,/images/icons/avatar_book.png
OL14877882W,Salomé,Oscar Wilde,Edición de la Revista Nosotros,1893.0,Spanish,//covers.openlibrary.org/b/id/11919890-M.jpg
OL5850631W,The lost men,Kelly Tyler-Lewis,Viking,2006.0,English,//covers.openlibrary.org/b/id/400543-M.jpg
OL13754137W,Perspective Made Easy,Ernest R. Norling,Lightning Source Inc,2007.0,English,/images/icons/avatar_book.png
OL11369218W,Valley of blood,George G. Gilman,New English Library,1975.0,English,//covers.openlibrary.org/b/id/12964718-M.jpg
OL19744680W,Ten arguments for deleting your social media accounts right now,Jaron Lanier,Henry Holt and Company,2018.0,English,//covers.openlibrary.org/b/id/12504011-M.jpg
OL28170263W,Las Prepago?,Madame Rochy,Oveja Negra,2009.0,,/images/icons/avatar_book.png
OL9283360W,Love 'n Time,Lisa A. Smith,Dorrance Publishing Co. Inc.,2007.0,English,//covers.openlibrary.org/b/id/2642612-M.jpg
OL3577235W,Frank Miller's Ronin,Frank Miller,Titan,1987.0,English,//covers.openlibrary.org/b/id/12702164-M.jpg
OL5337360W,Saving the world,James Patterson,,1998.0,English,//covers.openlibrary.org/b/id/13161317-M.jpg
OL17590212W,A Sutil Arte de Ligar o F*da-se,Mark Manson,Intrinseca,2016.0,Portuguese,//covers.openlibrary.org/b/id/8577361-M.jpg
OL28154433W,Don't Kiss the Bride,Carian Cole,Independently Published,2021.0,English,/images/icons/avatar_book.png
OL19107822W,Introduction à la dermopharmacie et à la cosmétologie,Marie-Claude Martini,Tec & Doc,2003.0,French,/images/icons/avatar_book.png
OL7820015W,Student Indonesia di Eropa,A. Rivai,Kepustakaan Populer Gramedia,2000.0,Indonesian,/images/icons/avatar_book.png
OL38382569W,I Don't Love You Anymore,Rithvik Singh,Ebury Publishing,2020.0,English,//covers.openlibrary.org/b/id/14638562-M.jpg
OL175846W,The Mummy Case,Elizabeth Peters,Grand Central Publishing,1985.0,English,//covers.openlibrary.org/b/id/286703-M.jpg
OL15397988W,Zelda,Carter Brown,New American Library of World Literature,1961.0,English,//covers.openlibrary.org/b/id/6616123-M.jpg
OL20881621W,The 5 AM Club,Robin S. Sharma,HarperCollins Publishers,2018.0,,//covers.openlibrary.org/b/id/14614080-M.jpg
OL257943W,Le trône de fer,George R. R. Martin,J'ai Lu,1996.0,French,//covers.openlibrary.org/b/id/14601851-M.jpg
OL19052W,Christian Theology,Alister E. McGrath,Blackwell Pub,1993.0,English,//covers.openlibrary.org/b/id/396002-M.jpg
OL2465639W,Independence day,Richard Ford,A.A. Knopf,1995.0,English,//covers.openlibrary.org/b/id/10021861-M.jpg
OL34954280W,Illusioni,Richard Bach,BUR Biblioteca Univ. Rizzoli,1989.0,,//covers.openlibrary.org/b/id/13803744-M.jpg
OL11539085W,Organizational Communication,Katherine Miller,Wadsworth,1995.0,English,//covers.openlibrary.org/b/id/12183253-M.jpg
OL26183384W,Der Raub des königlichen Schlafs,Ismail Kadare,Ammann,2008.0,German,//covers.openlibrary.org/b/id/12153489-M.jpg
OL1167981W,Animal Farm and 1984,George Orwell,Harcourt,1978.0,English,//covers.openlibrary.org/b/id/10524365-M.jpg
OL3340490W,I don't want to talk about it,Terrence Real,Fireside,1997.0,English,//covers.openlibrary.org/b/id/6827205-M.jpg
OL27729743W,The Housemaid,Freida McFadden,Hatchette UK - Bookouture,2022.0,,//covers.openlibrary.org/b/id/14653835-M.jpg
OL16811653W,By the People,James A. Morone,"Oxford University Press, Incorporated",2012.0,English,//covers.openlibrary.org/b/id/13082849-M.jpg
OL26695353W,Milady Professional Educator Exam Prep,Milady,Delmar Cengage Learning,2022.0,English,/images/icons/avatar_book.png
OL16064293W,Spider's Web,Charles Osborne,St. Martin's Paperbacks,2000.0,English,//covers.openlibrary.org/b/id/12837102-M.jpg
OL5099525W,Rebellion or revolution?,Gerald Edward Aylmer,Oxford University Press,1986.0,English,//covers.openlibrary.org/b/id/4144279-M.jpg
OL11369213W,Ten Tombstones,George G. Gilman,Pinnacle Books,1976.0,English,//covers.openlibrary.org/b/id/10523399-M.jpg
OL9970770W,Contrôle de gestion,Michel Gervais,Economica,2000.0,French,/images/icons/avatar_book.png
OL31614371W,Client-Centered Therapy,"Rogers, Carl R.",Houghton Mifflin,1965.0,,/images/icons/avatar_book.png
OL16537365W,Nevrologija,Simpozij o nevrologiji in psihiatriji (1...,Lek,1969.0,Slovene,//covers.openlibrary.org/b/id/9447822-M.jpg
OL21278636W,History of Islamic Philosophy,Oliver Leaman,Taylor & Francis Group,2013.0,English,/images/icons/avatar_book.png
OL20869376W,"My Father, Sun-Sun Johnson",C Palmer,Macmillan Caribbean,2012.0,,//covers.openlibrary.org/b/id/10188436-M.jpg
OL20716979W,Surimi and Surimi Seafood,Jae W. Park,CRC Press,2013.0,,//covers.openlibrary.org/b/id/9398357-M.jpg
OL27806600W,Introduction to Arabic Linguistics,Haddad,"Wiley & Sons, Limited, John",2023.0,English,//covers.openlibrary.org/b/id/13855328-M.jpg
OL6976789W,Organisation pratique des chantiers ...,Émile Olivier,Entreprise moderne d'édition,1971.0,French,/images/icons/avatar_book.png
OL37566743W,"Marketing Management, Global Edition",Philip Kotler,"Pearson Education, Limited",2021.0,English,/images/icons/avatar_book.png
OL5750629W,Legal aspects of engineering,Cynthia M. Gayton,Kendall/Hunt Pub. Co.,2004.0,English,//covers.openlibrary.org/b/id/1415578-M.jpg
OL16205453W,"The scenic attractions and summer resorts along the railways of the Virginia, Tennessee & Georgia Air Line","Virginia, Tennessee and Georgia Air Line",Aldine press,1883.0,English,//covers.openlibrary.org/b/id/7161242-M.jpg
OL19014755W,Fox Hill on the Virginia Peninsula,Fox Hill Historical Society,Arcadia,2004.0,English,//covers.openlibrary.org/b/id/1371087-M.jpg
OL53908W,The Adventures of Huckleberry Finn,Mark Twain,Pocket Books,1876.0,English,//covers.openlibrary.org/b/id/14332290-M.jpg
OL15958753W,Héroes prestados,Franz Gustavo Morales Méndez,s.n.],2010.0,Spanish,/images/icons/avatar_book.png
OL1169289W,The vortex,Noel Coward,Harper,1924.0,English,//covers.openlibrary.org/b/id/11937601-M.jpg
OL16734415W,Black Beaver,John Adams,Printed by Robert O. Law co.,1911.0,English,//covers.openlibrary.org/b/id/6339740-M.jpg
OL25455333W,The Lords of Easy Money,Christopher Leonard,Simon & Schuster,2022.0,English,//covers.openlibrary.org/b/id/14831005-M.jpg
OL21299150W,Rural Social Work in the 21st Century,Michael R. Daley,Oxford University Press,2015.0,English,/images/icons/avatar_book.png
OL17937668W,Death Drive (Edge #27),George G. Gilman,Pinnacle Books,1977.0,English,//covers.openlibrary.org/b/id/10523419-M.jpg
OL2031425W,Dickerson family history,Wilton H. Dickerson,Gateway Press,1998.0,English,/images/icons/avatar_book.png
OL25773112W,Advanced Introduction to Law and Development,Mariana M. Prado,"Elgar Publishing Limited, Edward",2021.0,English,//covers.openlibrary.org/b/id/12411269-M.jpg
OL3734057W,Nubian architecture,Omar M. El-Hakim,Palm Press,1993.0,English,//covers.openlibrary.org/b/id/13231056-M.jpg
OL10589972W,Teach yourself singing.,Clarence Radford Thorpe,English Universities Press,1954.0,English,//covers.openlibrary.org/b/id/12977585-M.jpg
OL5843663W,Linear algebra,Eric Carlen,W.H. Freeman,2006.0,English,//covers.openlibrary.org/b/id/10406952-M.jpg
OL3623076W,Brilliant traces,Cindy Lou Johnson,Dramatists Play Service,1989.0,English,//covers.openlibrary.org/b/id/9656912-M.jpg
OL26664302W,"Jujutsu Kaisen, Vol. 17",Gege Akutami,Viz Media,2022.0,English,//covers.openlibrary.org/b/id/14251726-M.jpg
OL1947896W,Electrical wiring industrial,"Smith, Robert L.",Delmar Publishers,1977.0,English,//covers.openlibrary.org/b/id/1453322-M.jpg
OL48061W,Two for the dough,Janet Evanovich,St. Martin's Griffin,1996.0,English,//covers.openlibrary.org/b/id/8008210-M.jpg
OL15879020W,The Dickinson genealogy,Philip Pease Dickinson,,1970.0,English,/images/icons/avatar_book.png
OL24512841W,Summer Sons,Lee Mandelo,Tordotcom,2021.0,,//covers.openlibrary.org/b/id/11139568-M.jpg
OL17835673W,"Gramática de uso del español : teoría y práctica, con solucionario: B1-B2",Ramon Palencia,SM,2009.0,,//covers.openlibrary.org/b/id/8129721-M.jpg
OL3906339W,The King Must Die,Mary Renault,Bantam Books,1952.0,English,//covers.openlibrary.org/b/id/8247012-M.jpg
OL41242W,Dale Brown's Dreamland,Dale Brown,Avon,2001.0,English,//covers.openlibrary.org/b/id/25888-M.jpg
OL25658073W,Salem Story,Bernard Rosenthal,Cambridge University Press,2010.0,English,/images/icons/avatar_book.png
OL19709580W,How I became a ghost,Tim Tingle,,2013.0,English,//covers.openlibrary.org/b/id/9384014-M.jpg
OL20666884W,"Introduction to Women's, Gender, and Sexuality Studies",Edited by L. Ayu Saraswati,Oxford University Press,2017.0,,//covers.openlibrary.org/b/id/9334423-M.jpg
OL11374287W,I͡A - legenda,Richard Matheson,Domino,1954.0,Russian,//covers.openlibrary.org/b/id/12959114-M.jpg
OL5682180W,"The Pirate Lord (Lord Trilogy, Book 1)",Sabrina Jeffries,Avon,1998.0,English,//covers.openlibrary.org/b/id/236602-M.jpg
OL40092045W,Twin-cest 1 - 4,Alex Anders,Smashwords,2011.0,English,/images/icons/avatar_book.png
OL21298054W,Education and Society,Wolfgang Lehmann,Oxford University Press,2016.0,English,//covers.openlibrary.org/b/id/13818159-M.jpg
OL2368522W,Understanding How to Fight the Good Fight of Faith,Kenneth E. Hagin,Faith Library Publications,1987.0,English,//covers.openlibrary.org/b/id/8132507-M.jpg
OL152258W,Necronomicon,H.P. Lovecraft,Gollancz,2008.0,English,//covers.openlibrary.org/b/id/2521774-M.jpg
OL26663382W,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster,2022.0,English,//covers.openlibrary.org/b/id/12900511-M.jpg
OL13703365W,Virginia summer resorts ...,Norfolk & western railway company,,1889.0,English,//covers.openlibrary.org/b/id/7223473-M.jpg
OL26258750W,Gece Yolu,Kristin Hannah,Pegasus,2012.0,,//covers.openlibrary.org/b/id/12260012-M.jpg
OL27935737W,"ANSI/IES LP-3-22, Lighting Practice",The IES Testing Procedures Committee,Illuminating Engineering Society,2022.0,English,/images/icons/avatar_book.png
OL21362928W,Swing Volume 2,Yishan Li,Image Comics,2019.0,English,/images/icons/avatar_book.png
OL23535656W,Culpa mía,Mercedes Ron,MONTENA,2017.0,,//covers.openlibrary.org/b/id/10512957-M.jpg
OL17729555W,Brazen,Maya Banks,"New York Quarterly Foundation, Incorporated, The",2023.0,English,//covers.openlibrary.org/b/id/9160375-M.jpg
OL655452W,Les moins de seize ans,Gabriel Matzneff,Julliard,1974.0,French,/images/icons/avatar_book.png
OL17428421W,Who Ate The Turkey,Griffin Roesser,Rosen Publishing Group,2007.0,,//covers.openlibrary.org/b/id/7559167-M.jpg
OL19732028W,The Gone World,Tom Sweterlitsch,G.P. Putnam's Sons,2018.0,English,//covers.openlibrary.org/b/id/14832007-M.jpg
OL17900311W,The billionaire's ruthless affair,Miranda Lee,,2016.0,English,//covers.openlibrary.org/b/id/10224387-M.jpg
OL24152385W,How to Become a People Magnet,Marc Reklau,Independently published,2018.0,,//covers.openlibrary.org/b/id/10551689-M.jpg
OL13747920W,Eat That Frog,BrianTracy,,,,//covers.openlibrary.org/b/id/13776244-M.jpg
OL82548W,Harry Potter i Zakon Feniksa,J. K. Rowling,Media Rodzina,2003.0,Polish,//covers.openlibrary.org/b/id/14342026-M.jpg
OL21766442W,La plaine de Caïn,Spôjmaï Zariâb,Ed. de l'Aube,2001.0,French,//covers.openlibrary.org/b/id/10402741-M.jpg
OL2928292W,The lost jewels of Nafouti,R. A. Montgomery,Sundance,1981.0,English,//covers.openlibrary.org/b/id/10783085-M.jpg
OL8162955W,Arapaho revenge,George G. Gilman,New English Library,1983.0,English,//covers.openlibrary.org/b/id/10343651-M.jpg
OL38534486W,La Malavventura di Francesco d'Assisi,Jacques Dalarun,Edizioni Biblioteca Francescana,1996.0,Italian,/images/icons/avatar_book.png
OL24321638W,El Duelo,Gabriel Rolón,Planeta Publishing,2021.0,,//covers.openlibrary.org/b/id/10840698-M.jpg
OL1649983W,The MPEG Handbook,John Watkinson,Focal Press,2004.0,English,//covers.openlibrary.org/b/id/1150834-M.jpg
OL17787820W,God Don't Play,Mary Monroe,Dafina,2010.0,,//covers.openlibrary.org/b/id/6299743-M.jpg
OL34426441W,Authentic Italian Gelato Recipe Book,Lora Lewis,Independently Published,2022.0,English,/images/icons/avatar_book.png
OL28627767W,Quantitative Reasoning in Mathematics and Science Education,Gülseren Karagöz Akar,Springer International Publishing AG,2022.0,English,/images/icons/avatar_book.png
OL34947779W,"Girl in Pieces, You'd Be Home Now, How to Make Friends with the Dark By Kathleen Glasgow 3 Books Collection Set",Kathleen Glasgow,Ember/Rock the Boat Ltd,2000.0,,//covers.openlibrary.org/b/id/13773096-M.jpg
OL25780308W,Essentials of Research Methodology for All Physiotherapy and Allied Health Sciences Students,Thangamani A. Ramalingam,JP Medical Ltd,2018.0,English,//covers.openlibrary.org/b/id/13692900-M.jpg
OL15432307W,Murder in the Key Club,Carter Brown,New American Library of World Literature,1962.0,English,//covers.openlibrary.org/b/id/6658522-M.jpg
OL1865540W,Die Tagebücher.,Ted Hughes,Piper,1982.0,German,//covers.openlibrary.org/b/id/2209636-M.jpg
OL27052537W,Casca The Eternal Mercenary,Barry Sadler,Americana Books,2011.0,,//covers.openlibrary.org/b/id/12564739-M.jpg
OL17400173W,My Mama Made That Virginia Favorites,The Junior League of Hampton Roads,Junior League of Hampton Roads,2009.0,,//covers.openlibrary.org/b/id/7503187-M.jpg
OL29255865W,A swell looking babe,Jim Thompson,Orion,2006.0,English,//covers.openlibrary.org/b/id/12986890-M.jpg
OL812929W,Ground training,Bonnie Bryant,Bantam Books,2000.0,English,//covers.openlibrary.org/b/id/371270-M.jpg
OL17870214W,Come as you are,Emily Nagoski,New York: Simon & Schuster,2015.0,,//covers.openlibrary.org/b/id/8176873-M.jpg
OL24390422W,Twisted Love,Ana Huang,"Little, Brown Book Group Limited",2021.0,Spanish,//covers.openlibrary.org/b/id/12940491-M.jpg
OL24639987W,Rise of the Dragons,Morgan Rice,Morgan Rice,2017.0,,//covers.openlibrary.org/b/id/11321146-M.jpg
OL32256898W,El poder de las palabras,Mariano Sigman,DEBATE,2022.0,,//covers.openlibrary.org/b/id/13086614-M.jpg
OL36482486W,Romper el Hielo / Icebreaker,Hannah Grace,Ediciones B,2023.0,Spanish,//covers.openlibrary.org/b/id/14629219-M.jpg
OL2664636W,Carpentry,Leonard Koel,American Technical Publishers,1985.0,English,//covers.openlibrary.org/b/id/9667302-M.jpg
OL82565W,Harry Potter et le Sang Mele,J. K. Rowling,French & European Pubns,2005.0,French,https://archive.org/download/harrypotteretles0000jkro_c4k4/page/cover_w180_h360.jpg
OL4449448W,Chemical stability of pharmaceuticals,Kenneth A. Connors,Wiley,1979.0,English,//covers.openlibrary.org/b/id/1251386-M.jpg
OL3498792W,Perhaps Love,Lindsay Armstrong,harlequin,1983.0,English,/images/icons/avatar_book.png
OL7924103W,"La roue du temps, l'invasion des tenebres 1",Robert Jordan,Pocket,1990.0,,//covers.openlibrary.org/b/id/10290889-M.jpg
OL16076394W,Drawing with colored pencils,Morrell Wise,Foster Art Service,1985.0,English,//covers.openlibrary.org/b/id/6893625-M.jpg
OL13752855W,The Drama of the Gifted Child,Alice Miller,Perseus Books Group,1981.0,English,//covers.openlibrary.org/b/id/7118856-M.jpg
OL19902969W,From #BlackLivesMatter to Black Liberation,Keeanga-Yamahtta Taylor,Haymarket Books,2016.0,English,//covers.openlibrary.org/b/id/11152866-M.jpg
OL1849282W,Weeping willow trees,John F. Prevost,Abdo & Daughters,1996.0,English,//covers.openlibrary.org/b/id/7307443-M.jpg
OL15432272W,The body,Carter Brown,New American Library,1958.0,English,//covers.openlibrary.org/b/id/6658416-M.jpg
OL3011773W,Human energy systems,Jack Schwarz,Dutton,1980.0,English,//covers.openlibrary.org/b/id/9520216-M.jpg
OL603520W,korbi Poezi të zgjedhura,Fan Stylian Noli,Shtëpia Botuese Dituria,1998.0,Albanian,//covers.openlibrary.org/b/id/10562907-M.jpg
OL3906338W,The king must die & the bull from the sea,Mary Renault,Science Fiction Book Club,1998.0,English,//covers.openlibrary.org/b/id/14485691-M.jpg
OL14909460W,Vampire Kisses 7,Ellen Schreiber,Katherine Tegen Books,2010.0,English,//covers.openlibrary.org/b/id/6388462-M.jpg
OL24522951W,Vitamina A1 libro del alumno + licencia digital,Berta Serralde Vizueta,S.G.E.L.,2019.0,,//covers.openlibrary.org/b/id/11153645-M.jpg
OL27991705W,Texas Magic,Nancy Robards Thompson,Harlequin Enterprises ULC,2012.0,English,/images/icons/avatar_book.png
OL8860264W,Clean hands,Cliff I. Davidson,Nova Science,1998.0,English,//covers.openlibrary.org/b/id/1889579-M.jpg
OL15079937W,Love and Freindship,Jane Austen,Juvenilia Press,1995.0,English,//covers.openlibrary.org/b/id/14373861-M.jpg
OL28429163W,Be My Hero,Linda Kage,CreateSpace Independent Publishing Platform,2014.0,,/images/icons/avatar_book.png
