ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL14868783W,Cricket on the Hearth Illustrated,"Fiction, Fantasy",Charles Dickens,Independently Published,           1846         ,English,/images/icons/avatar_book.png,119,3.0 (4 ratings),,9798747015500
OL4468615W,Piano fantasy,,Aaron Copland,Boosey and Hawkes,           1957         ,English,/images/icons/avatar_book.png,45,,,
OL29509870W,Fantasy Journeys,,C. Wright,Independently Published,           2018         ,English,/images/icons/avatar_book.png,,,,9781795463775
OL11952573W,Descriptosaurus,Fantasy,Alison Wilcox,Taylor & Francis Group,           2008         ,English,/images/icons/avatar_book.png,274,,,9781317511014
OL12968059W,Philosophical fantasies.,,Alan WATTS,Celestial Arts,           1975         ,English,/images/icons/avatar_book.png,63,,,
OL2959319W,Fantasy.,,Emma Darcy,Mills & Boon,           1985         ,English,/images/icons/avatar_book.png,,,,
OL23098031W,Forbidden Fantasy House,Fulfilling a Very Dark Fantasy,Sinistre Ange,Independently Published,           2019         ,,//covers.openlibrary.org/b/id/10510995-M.jpg,153,,1080031189,
OL15924196W,Swords and sorcery,stories of heroic fantasy,L. Sprague De Camp,Pyramid Books,           1963         ,English,//covers.openlibrary.org/b/id/6853381-M.jpg,186,,,
OL2028271W,Unofficial final fantasy VII,,Ronald Wartow,Sybex,           1997         ,English,//covers.openlibrary.org/b/id/1462950-M.jpg,206,,0782123783,
OL1946687W,"The Path of Daggers (The Wheel of Time, Book 8)",,Robert Jordan,Tor Fantasy,           1998         ,English,//covers.openlibrary.org/b/id/603820-M.jpg,704,3.9 (25 ratings),0812550293,
OL17463255W,Creatures Anathema,,Fantasy Flight Games,Fantasy Flight Games,           2009         ,,//covers.openlibrary.org/b/id/7628727-M.jpg,,,,9781589945487
OL15450W,Phantastes : A Faerie Romance for Men and Women,Fantasy Novel,George MacDonald,Independently Published,           1850         ,English,/images/icons/avatar_book.png,,3.9 (9 ratings),,9781699582701
OL162353W,"Rousseau, Redon, and fantasy",,Louise Averill Svendsen,Solomon R. Guggenheim Foundation,           1968         ,English,/images/icons/avatar_book.png,52,,,
OL34445074W,Fantasy,Erotic Short Stories,Natasha Bender,Independently Published,           2021         ,English,/images/icons/avatar_book.png,,,,9798703759028
OL19768222W,The ship of secrets,the tenth adventure in the Kingdom of Fantasy,Elisabetta Dami,Scholastic Inc.,           2016         ,English,//covers.openlibrary.org/b/id/13593287-M.jpg,309,3.7 (3 ratings),,9781338088809
OL40643326W,Fantasy Magic Coloring Book for Adults,Magical Fantasy Adult Coloring Book,fantasy coloring fantasy coloring books ...,CreateSpace Independent Publishing Platform,           2017         ,English,/images/icons/avatar_book.png,56,,,9781545461785
OL76487W,Man Who Was Thursday,a Nightmare Annotated Metaphysical Fantasy,Gilbert Keith Chesterton,Independently Published,           1908         ,English,/images/icons/avatar_book.png,166,3.5 (23 ratings),,9798641603704
OL15381079W,The dragon prophecy,the fourth adventure in the Kingdom of Fantasy,Elisabetta Dami,Scholastic Inc.,           2009         ,English,//covers.openlibrary.org/b/id/7242747-M.jpg,,4.0 (2 ratings),,9780545393515
OL7212889W,The Best from Fantasy and Science Fiction,A Special 25th Anniversary Anthology,Edward L. Ferman,DoubleDay,           1973         ,English,//covers.openlibrary.org/b/id/8259417-M.jpg,326,,0385082215,
